time_of_day,day_of_week,location_id,historical_occupancy_rate,previous_duration_hours,traffic_density,is_available
6,0,47,42.231387785603225,6.09012716234387,High,0
19,1,12,25.334836447285902,7.289186926474552,Low,0
14,5,36,81.82372870192299,3.466156446401916,High,0
10,6,12,98.58151058135157,4.731346459470948,Low,0
7,1,18,25.63417283472579,7.192302855065905,High,1
20,3,49,5.6131588021072325,7.953860471415383,Low,0
6,4,48,81.55424374190073,7.769707717740162,High,1
18,2,43,62.02300525347562,5.883829034515506,Medium,0
22,2,34,95.96988005510045,1.5742066835763469,Low,0
10,3,48,25.223921907695225,0.6738950884476995,Low,1
10,1,33,7.1027658001281075,6.6891376730220635,High,1
23,2,49,49.24422608665016,6.807065183688691,Medium,1
20,1,18,8.546602296514749,6.097706811976022,Low,1
3,5,29,26.179000110270746,2.599426144994151,Low,1
7,3,45,12.597786081916828,5.29863394698895,Medium,0
23,6,5,22.41321796600787,2.871863313614557,Medium,1
2,1,25,10.614465282139186,3.879861845756935,Medium,1
21,5,24,95.39059994272854,3.3682631373538285,Low,0
20,1,29,27.85627134497355,7.352300650925417,High,0
1,1,38,44.389758599256545,2.2561799805790668,High,1
23,2,33,89.86118076342223,4.832081784303126,Low,1
11,0,10,67.73215879614743,3.2073614677539437,Low,0
5,4,37,61.80374805617743,5.473033339356693,Low,0
1,1,33,70.55631903608372,4.734223558831062,Low,1
20,1,23,82.88222571053818,7.429832610244554,Medium,0
0,1,11,87.7669267851761,1.2620911377590989,Low,0
11,0,24,64.26396706650264,2.1548062981757257,Low,1
21,5,24,89.00072746940577,6.247609728732919,Low,0
11,6,7,53.539752742547684,3.2659012992113254,Medium,0
16,6,50,27.72908562684234,1.7433783967154293,Medium,0
9,3,21,88.00767088838444,4.274909444340408,Medium,1
15,2,20,54.147282741308715,5.391065462085397,Low,1
14,0,10,90.61375875672343,0.8362003561512394,Medium,0
14,5,25,4.016781395058122,2.6871641702558353,Low,1
18,1,47,39.75157515412355,6.570669032720321,Low,1
11,5,36,94.78050183624683,4.401834249576456,High,0
22,0,48,24.965009275830276,0.7653441137999,Medium,1
19,0,47,94.15362460384927,2.6146325395602563,High,0
2,0,15,95.390246112925,5.29355491984566,High,0
4,3,44,88.2142314225861,1.9951960218351856,Medium,0
18,4,40,56.36680450932987,6.7054355466456075,Medium,0
6,2,40,64.69394490806386,5.574319303127481,High,0
20,3,50,86.96169984498692,4.0353429571084485,Low,0
